original_function,sequence,generated_completion_rule,generated_completion,generated_completion_matches,model_self_consistency_evaluation,model_completion,model_completion_matches
"{'fn': 'lambda x: (x * 3) % (1+1)', 'offset': 0}","[0, 1, 0, 1]","lambda x: [0, 1, 0, 1][x % 4]",0,True,Y,0,True
"{'fn': 'lambda x: (x * 1) % (1+1)', 'offset': 0}","[0, 1, 0, 1]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x%2==1 else 0)",0,True,Y,1,False
"{'fn': 'lambda x: (x * 1) % (1+1)', 'offset': 2}","[0, 1, 0, 1]",lambda x: (x % 2),0,True,Y,0,True
"{'fn': 'lambda x: (x * 3) % (1+1)', 'offset': 2}","[0, 1, 0, 1]",lambda x: x % 2,0,True,Y,0,True
"{'fn': 'lambda x: (x * 3) % (1+1)', 'offset': 1}","[1, 0, 1, 0]",lambda x: x % 2,1,,Y,1,
"{'fn': 'lambda x: (x * 1) % (1+1)', 'offset': 1}","[1, 0, 1, 0]",lambda x: (x % 2) ^ 1,1,True,Y,1,True
"{'fn': 'lambda x: (x * 1) % (1+1)', 'offset': 3}","[1, 0, 1, 0]",lambda x: (x % 2) ^ 1,1,True,Y,1,True
"{'fn': 'lambda x: (x * 3) % (1+1)', 'offset': 3}","[1, 0, 1, 0]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x%2==0 else 0)",1,True,Y,1,True
"{'fn': 'lambda x: (4 * x) + 2', 'offset': 0}","[2, 6, 10, 14]",lambda x: (2 * x) + 2,18,False,Y,18,False
"{'fn': 'lambda x: (4 * x) | 2', 'offset': 0}","[2, 6, 10, 14]",lambda x: (2 * x) + (2 * (x - 1)),18,True,Y,18,True
"{'fn': 'lambda x: (4 * x) + 2', 'offset': 1}","[6, 10, 14, 18]",lambda x: (x * 4) + 2,22,True,Y,22,True
"{'fn': 'lambda x: (4 * x) | 2', 'offset': 1}","[6, 10, 14, 18]",lambda x: (4 * x) + 2,22,True,Y,22,True
"{'fn': 'lambda x: (4 * x) + 2', 'offset': 2}","[10, 14, 18, 22]",lambda x: (4 * x) + 10,26,True,Y,26,True
"{'fn': 'lambda x: (4 * x) | 2', 'offset': 2}","[10, 14, 18, 22]",lambda x: (2 * x) + 10,26,False,Y,26,False
"{'fn': 'lambda x: (4 * x) + 2', 'offset': 3}","[14, 18, 22, 26]",lambda x: (4 * x) + 14,30,True,Y,30,True
"{'fn': 'lambda x: (4 * x) | 2', 'offset': 3}","[14, 18, 22, 26]",lambda x: (4 * x) + 14,30,True,Y,30,True
"{'fn': 'lambda x: (3 * x) * 2', 'offset': 0}","[0, 6, 12, 18]",lambda x: (x * 6) % (4+1),24,,N,24,
"{'fn': 'lambda x: (2 * x) * 3', 'offset': 0}","[0, 6, 12, 18]",lambda x: (6 * x) + 0,24,True,Y,24,True
