,model,run,answer_validity,ground_truth_consistent,ground_truth_consistent_num,self_rule_following_consistency,self_rule_following_consistency_len,self_comparison_consistency,self_comparison_consistency_len,consistent_and_matched_positive,consistent_and_matched_positive_len,consistent_and_matched_negative,consistent_and_matched_negative_len,self_consistency_precision,self_consistency_recall,self_consistency_f1
0,davinci,run_1,valid,36.36,33,33.33,33,95.05,222,100.0,12,4.76,21,0.375,1.0,0.5454545454545454
1,davinci,run_2,valid,29.41,34,41.18,34,96.82,220,90.0,10,0.0,24,0.2727272727272727,0.9,0.41860465116279066
2,davinci,run_3,valid,46.43,28,35.71,28,97.29,221,100.0,13,0.0,15,0.4642857142857143,1.0,0.6341463414634146
3,gpt-3.5-turbo,run_1,valid,94.24,191,95.81,191,95.35,215,97.78,180,10.0,10,0.9513513513513514,0.9777777777777777,0.9643835616438355
4,gpt-3.5-turbo,run_2,valid,95.16,186,97.31,186,96.7,212,98.31,177,0.0,8,0.9560439560439561,0.9830508474576272,0.9693593314763231
5,gpt-3.5-turbo,run_3,valid,94.48,181,97.24,181,96.21,211,98.25,171,0.0,10,0.9438202247191011,0.9824561403508771,0.9627507163323781
6,gpt-4-0314,run_1,valid,97.87,188,97.87,188,80.95,210,80.98,184,0.0,4,0.9738562091503268,0.8097826086956522,0.8842729970326411
7,gpt-4-0314,run_2,valid,97.86,187,98.4,187,78.67,211,79.23,183,25.0,4,0.9797297297297297,0.7923497267759563,0.8761329305135952
8,gpt-4-0314,run_3,valid,96.81,188,96.81,188,85.24,210,86.26,182,16.67,6,0.9691358024691358,0.8626373626373627,0.9127906976744187
9,text-davinci-003,run_1,valid,88.95,172,91.28,172,87.84,222,96.08,153,26.32,19,0.9130434782608695,0.9607843137254902,0.9363057324840764
10,text-davinci-003,run_2,valid,90.17,173,89.6,173,86.49,222,94.23,156,23.53,17,0.91875,0.9423076923076923,0.930379746835443
11,text-davinci-003,run_3,valid,89.66,174,89.08,174,87.56,225,92.31,156,16.67,18,0.9056603773584906,0.9230769230769231,0.9142857142857143
12,davinci,run_1,all,5.41,222,4.95,222,95.05,222,95.02,201,4.76,21,0.05687203791469194,1.0,0.10762331838565023
13,davinci,run_2,all,4.55,220,6.36,220,96.82,220,96.43,196,0.0,24,0.04225352112676056,0.9,0.08071748878923765
14,davinci,run_3,all,5.88,221,4.52,221,97.29,221,97.09,206,0.0,15,0.06046511627906977,1.0,0.11403508771929825
15,gpt-3.5-turbo,run_1,all,82.95,217,84.33,217,94.47,217,95.15,206,9.09,11,0.8585365853658536,0.9777777777777777,0.9142857142857143
16,gpt-3.5-turbo,run_2,all,83.1,213,84.98,213,96.24,213,96.57,204,0.0,9,0.848780487804878,0.9830508474576272,0.9109947643979057
17,gpt-3.5-turbo,run_3,all,80.66,212,83.02,212,95.75,212,95.54,202,0.0,10,0.8275862068965517,0.9824561403508771,0.8983957219251337
18,gpt-4-0314,run_1,all,87.62,210,87.62,210,80.95,210,80.58,206,0.0,4,0.8764705882352941,0.8097826086956522,0.8418079096045198
19,gpt-4-0314,run_2,all,86.73,211,87.2,211,78.67,211,78.74,207,25.0,4,0.8734939759036144,0.7923497267759563,0.830945558739255
20,gpt-4-0314,run_3,all,86.67,210,86.67,210,85.24,210,85.29,204,16.67,6,0.8770949720670391,0.8626373626373627,0.8698060941828255
21,text-davinci-003,run_1,all,68.92,222,70.72,222,87.84,222,89.16,203,26.32,19,0.7538461538461538,0.9607843137254902,0.8448275862068965
22,text-davinci-003,run_2,all,70.27,222,69.82,222,86.49,222,87.32,205,23.53,17,0.765625,0.9423076923076923,0.8448275862068965
23,text-davinci-003,run_3,all,69.33,225,68.89,225,87.56,225,87.92,207,16.67,18,0.7309644670050761,0.9230769230769231,0.8158640226628895
