original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15]",lambda x: (5 * x) + 0,20,True,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683, 531441, 14348907, 387420489, 10460353203]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 1)",282429536481,False,True
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30, 45, 60, 75, 90]",lambda x: (15 * x) ** 1,105,True,True
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29, 30, 39]",lambda x: (x % 5) * (x // 5) + 4,48,False,False
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16, 32, 64]",lambda x: 2 ** x,128,True,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36, 48, 60, 72, 84]",lambda x: (12 * x) + 0,96,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28]",lambda x: (4 * x) ** 3,168,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1 ** (1 * x),1,False,True
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (4 + 1)][x],13,False,False
"{'fn': 'lambda x: 1 ** (2 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 7, 46, 418, 5020, 75304, 1355476]",lambda x: (6 * x) ** 5 - (5 * x) ** 4 + (4 * x) ** 3 - (3 * x) ** 2 + (2 * x) ** 1 - (1 * x) ** 0,22883520,False,False
