,model,run,answer_validity,ground_truth_consistent,ground_truth_consistent_num,self_rule_following_consistency,self_rule_following_consistency_len,self_comparison_consistency,self_comparison_consistency_len,consistent_and_matched_positive,consistent_and_matched_positive_len,consistent_and_matched_negative,consistent_and_matched_negative_len,self_consistency_precision,self_consistency_recall,self_consistency_f1
0,gpt-3.5-turbo,final_run_2,valid,65.12,344,68.31,344,83.72,344,94.2,224,35.83,120,0.7326388888888888,0.9419642857142857,0.82421875
1,gpt-3.5-turbo,final_run_3,valid,80.88,136,85.29,136,88.24,136,97.27,110,50.0,26,0.8916666666666667,0.9727272727272728,0.9304347826086957
2,gpt-3.5-turbo,final_run_4,valid,81.69,213,83.1,213,96.24,213,98.85,174,15.38,39,0.8390243902439024,0.9885057471264368,0.9076517150395779
3,gpt-4-0314,final_run_2,valid,70.83,336,77.98,336,70.24,336,80.67,238,55.1,98,0.8135593220338984,0.8067226890756303,0.8101265822784811
4,gpt-4-0314,final_run_3,valid,91.24,137,92.7,137,69.34,137,70.4,125,41.67,12,0.9263157894736842,0.704,0.8
5,gpt-4-0314,final_run_4,valid,86.98,215,86.98,215,76.28,215,77.54,187,32.14,28,0.8841463414634146,0.7754010695187166,0.8262108262108261
6,text-davinci-003,final_run_2,valid,60.63,348,64.08,348,83.91,348,94.31,211,32.12,137,0.6815068493150684,0.943127962085308,0.7912524850894631
7,text-davinci-003,final_run_3,valid,77.86,140,77.86,140,84.29,140,90.83,109,38.71,31,0.8389830508474576,0.908256880733945,0.8722466960352423
8,text-davinci-003,final_run_4,valid,68.75,224,69.2,224,87.95,224,93.51,154,24.29,70,0.7309644670050761,0.935064935064935,0.8205128205128205
9,gpt-3.5-turbo,final_run_2,all,65.12,344,68.31,344,83.72,344,94.2,224,35.83,120,0.7326388888888888,0.9419642857142857,0.82421875
10,gpt-3.5-turbo,final_run_3,all,80.88,136,85.29,136,88.24,136,97.27,110,50.0,26,0.8916666666666667,0.9727272727272728,0.9304347826086957
11,gpt-3.5-turbo,final_run_4,all,81.69,213,83.1,213,96.24,213,98.85,174,15.38,39,0.8390243902439024,0.9885057471264368,0.9076517150395779
12,gpt-4-0314,final_run_2,all,70.83,336,77.98,336,70.24,336,80.67,238,55.1,98,0.8135593220338984,0.8067226890756303,0.8101265822784811
13,gpt-4-0314,final_run_3,all,91.24,137,92.7,137,69.34,137,70.4,125,41.67,12,0.9263157894736842,0.704,0.8
14,gpt-4-0314,final_run_4,all,86.98,215,86.98,215,76.28,215,77.54,187,32.14,28,0.8841463414634146,0.7754010695187166,0.8262108262108261
15,text-davinci-003,final_run_2,all,60.63,348,64.08,348,83.91,348,94.31,211,32.12,137,0.6815068493150684,0.943127962085308,0.7912524850894631
16,text-davinci-003,final_run_3,all,77.86,140,77.86,140,84.29,140,90.83,109,38.71,31,0.8389830508474576,0.908256880733945,0.8722466960352423
17,text-davinci-003,final_run_4,all,68.75,224,69.2,224,87.95,224,93.51,154,24.29,70,0.7309644670050761,0.935064935064935,0.8205128205128205
