dataset	model	num_shots	num_examples	num_correct	acc
20230505_16-49_n18_amb75.json	gpt-3.5-turbo	18	60	34	0.567
20230505_16-49_n8_amb75.json	gpt-3.5-turbo	8	60	32	0.533
20230505_16-49_n10_amb75.json	gpt-3.5-turbo	10	60	32	0.533
20230505_16-48_n14_amb50.json	gpt-3.5-turbo	14	60	33	0.55
20230505_16-48_n8_amb50.json	gpt-3.5-turbo	8	60	32	0.533
20230505_16-49_n20_amb75.json	gpt-3.5-turbo	20	60	31	0.517
20230505_16-49_n12_amb75.json	gpt-3.5-turbo	12	60	32	0.533
20230505_16-48_n16_amb50.json	gpt-3.5-turbo	16	60	30	0.5
20230505_16-48_n18_amb50.json	gpt-3.5-turbo	18	60	26	0.433
20230505_16-48_n10_amb50.json	gpt-3.5-turbo	10	60	34	0.567
20230505_16-49_n4_amb75.json	gpt-3.5-turbo	4	60	31	0.517
20230505_16-49_n14_amb75.json	gpt-3.5-turbo	14	60	27	0.45
20230505_16-48_n6_amb50.json	gpt-3.5-turbo	6	60	28	0.467
20230505_16-48_n20_amb50.json	gpt-3.5-turbo	20	60	31	0.517
20230505_16-48_n12_amb50.json	gpt-3.5-turbo	12	60	32	0.533
20230505_16-49_n6_amb75.json	gpt-3.5-turbo	6	60	28	0.467
20230505_16-48_n4_amb50.json	gpt-3.5-turbo	4	60	31	0.517
20230505_16-49_n16_amb75.json	gpt-3.5-turbo	16	60	30	0.5
20230505_16-49_n18_amb75.json	gpt-4-0314	18	60	34	0.567
20230505_16-49_n8_amb75.json	gpt-4-0314	8	60	28	0.467
20230505_16-49_n10_amb75.json	gpt-4-0314	10	60	26	0.433
20230505_16-48_n14_amb50.json	gpt-4-0314	14	60	33	0.55
20230505_16-48_n8_amb50.json	gpt-4-0314	8	60	28	0.467
20230505_16-49_n20_amb75.json	gpt-4-0314	20	60	31	0.517
20230505_16-49_n12_amb75.json	gpt-4-0314	12	60	32	0.533
20230505_16-48_n16_amb50.json	gpt-4-0314	16	60	30	0.5
20230505_16-48_n18_amb50.json	gpt-4-0314	18	60	34	0.567
20230505_16-48_n10_amb50.json	gpt-4-0314	10	60	26	0.433
20230505_16-49_n4_amb75.json	gpt-4-0314	4	60	32	0.533
20230505_16-49_n14_amb75.json	gpt-4-0314	14	60	33	0.55
20230505_16-48_n6_amb50.json	gpt-4-0314	6	60	32	0.533
