model,sequence,org_func,num_valid,num_invalid,num_shots,num_mc,invalid_fn_type,response_type,answer,logprob,correct,correct_and_pred,incorrect_and_pred,correct_and_not_pred,incorrect_and_not_pred,class_label
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,completion,7,-5.9777303,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,completion,11,-6.1026106,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,completion,12,-12.650562,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,completion,0,-16.685825,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,completion,4294967296,-4.722042723868751,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,completion,15,-5.364392,pred,0,0,0,0,
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,explanation,1,-10.736713,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,explanation,2,-3.3361077,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,explanation,3,-0.047377385,correct,1,0,0,0,correct_and_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,explanation,4,-8.8969555,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,explanation,5,-11.101558,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (2 * x) | 3', 'offset': 0, 'metadata': ('bitwise_or', 1, 3)}",2,3,4,5,exclude_class,explanation,3,-0.047377385,pred,1,0,0,0,correct_and_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,completion,11,-4.3554416,correct,1,0,0,0,correct_and_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,completion,7,-13.899475,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,completion,1,-21.331793,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,completion,20,-25.469193,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,completion,15625,-19.3176675,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,completion,11,-4.3554416,pred,1,0,0,0,correct_and_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,explanation,1,-10.898018,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,explanation,2,-7.334893,correct,0,0,1,0,correct_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,explanation,3,-1.440015,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,explanation,4,-5.6328754,incorrect,0,0,0,1,incorrect_and_not_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,explanation,5,-0.2639301,correct,1,0,0,0,correct_and_pred
text-davinci-003,"3,3,7,7","{'fn': 'lambda x: (1 * x) | 3', 'offset': 2, 'metadata': ('bitwise_or', 0, 3)}",2,3,4,5,exclude_class,explanation,5,-0.2639301,pred,1,0,0,0,correct_and_pred
text-davinci-003,"2,3,4,5","{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (3 + 1)][x]', 'offset': 1, 'metadata': ('indexing_criteria', 1, 3)}",2,3,4,5,exclude_class,completion,6,-6.2474065,correct,1,0,0,0,correct_and_pred
