original_function,sequence,generated_completion_rule,generated_completion,generated_completion_matches,model_self_consistency_evaluation,model_completion,model_completion_matches
"{'fn': 'lambda x: (1 * x) * 3', 'offset': 4, 'metadata': ('geometric_progression', 0, 3)}","[12, 15]",lambda x: (3 * x) + 3,18,True,Y,18,True
"{'fn': 'lambda x: (3 * x) | 4', 'offset': 4, 'metadata': ('bit_or_progression', 2, 4)}","[12, 15]",lambda x: (x * 3) + 9,18,True,Y,18,True
"{'fn': 'lambda x: (3 * x) * 1', 'offset': 4, 'metadata': ('geometric_progression', 2, 1)}","[12, 15]",lambda x: (3 * x) + 9,18,True,Y,18,True
"{'fn': 'lambda x: (3 * x) + 3', 'offset': 3, 'metadata': ('arithmetic_progression', 2, 3)}","[12, 15]",lambda x: (3 * x) + 12,18,True,Y,18,True
"{'fn': 'lambda x: (3 * x) + 0', 'offset': 4, 'metadata': ('arithmetic_progression', 2, 0)}","[12, 15]",lambda x: (3 * x) + 12,18,True,Y,18,True
"{'fn': 'lambda x: (3 * x) ** 1', 'offset': 4, 'metadata': ('exponential_progression', 2, 1)}","[12, 15]",lambda x: (3 * x) + 3,18,True,Y,18,True
"{'fn': 'lambda x: (3 * x) | 0', 'offset': 4, 'metadata': ('bit_or_progression', 2, 0)}","[12, 15]",lambda x: (3 * x) + 12,18,True,Y,18,True
"{'fn': 'lambda x: (1 * x) * 3', 'offset': 1, 'metadata': ('geometric_progression', 0, 3)}","[3, 6]",lambda x: (x + 1) * 3,9,True,Y,9,True
"{'fn': 'lambda x: (3 * x) | 2', 'offset': 1, 'metadata': ('bit_or_progression', 2, 2)}","[3, 6]",lambda x: (3 * x) + 3,9,True,Y,9,True
"{'fn': 'lambda x: (1 * x) | 2', 'offset': 3, 'metadata': ('bit_or_progression', 0, 2)}","[3, 6]",lambda x: (3 * x) - 3,9,True,Y,9,True
"{'fn': 'lambda x: (3 * x) * 1', 'offset': 1, 'metadata': ('geometric_progression', 2, 1)}","[3, 6]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (0 + 1)][x],9,False,N,9,False
"{'fn': 'lambda x: (3 * x) + 3', 'offset': 0, 'metadata': ('arithmetic_progression', 2, 3)}","[3, 6]",lambda x: (3 * x) - 3,9,True,Y,9,True
"{'fn': 'lambda x: (3 * x) + 0', 'offset': 1, 'metadata': ('arithmetic_progression', 2, 0)}","[3, 6]",lambda x: 3 * (2 ** (x-1)),9,False,Y,12,True
"{'fn': 'lambda x: (3 * x) ** 1', 'offset': 1, 'metadata': ('exponential_progression', 2, 1)}","[3, 6]",lambda x: (3 * x) + 3,9,True,Y,9,True
"{'fn': 'lambda x: (3 * x) | 0', 'offset': 1, 'metadata': ('bit_or_progression', 2, 0)}","[3, 6]",lambda x: [i for i in range(100) if i % (3 + 1) or i % (2 + 1)][x] * 2,9,False,N,12,False
"{'fn': 'lambda x: (1 * x) ** 3', 'offset': 1, 'metadata': ('exponential_progression', 0, 3)}","[1, 8]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) - 2)",27,False,Y,15,False
"{'fn': 'lambda x: 2 ** (3 * x)', 'offset': 0, 'metadata': ('power_progression', 1, 3)}","[1, 8]",lambda x: (7 * x) - 6,27,False,N,15,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 5 * x * fn(fn,x-1) + 3)', 'offset': 0, 'metadata': ('recursive_progression', 4, 3)}","[1, 8]",lambda x: (x * 7) + 1,64,False,N,15,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 4)', 'offset': 0, 'metadata': ('recursive_progression', 3, 4)}","[1, 8]",lambda x: (x * 7) ** (1 + 1),15,False,N,64,False
"{'fn': 'lambda x: [i for i in range(100) if i % (4 + 1) or i % (4 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 3, 4)}","[3, 4]",lambda x: (x * 2) - 1,5,False,Y,5,False
"{'fn': 'lambda x: (1 * x) | 0', 'offset': 3, 'metadata': ('bit_or_progression', 0, 0)}","[3, 4]",lambda x: (x + 2) % (2+1) + 3,5,True,Y,5,True
"{'fn': 'lambda x: [i for i in range(100) if i % (3 + 1) or i % (4 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 2, 4)}","[3, 4]",lambda x: (2 * x) + 1,5,False,Y,5,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (0 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 4, 0)}","[3, 4]",lambda x: (x * 1) + 3,5,True,Y,5,True
"{'fn': 'lambda x: (1 * x) ** 1', 'offset': 3, 'metadata': ('exponential_progression', 0, 1)}","[3, 4]",lambda x: (x * 1) + 3,5,True,Y,5,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (3 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 4, 3)}","[3, 4]",lambda x: (x * 1) + 3,5,True,Y,5,True
"{'fn': 'lambda x: [i for i in range(100) if i % (2 + 1) or i % (4 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 1, 4)}","[3, 4]",lambda x: (1 * x) + 2,5,True,Y,5,True
"{'fn': 'lambda x: (1 * x) + 1', 'offset': 2, 'metadata': ('arithmetic_progression', 0, 1)}","[3, 4]",lambda x: (x * 5) % (2+1) + 3,5,False,N,5,False
"{'fn': 'lambda x: (1 * x) * 1', 'offset': 3, 'metadata': ('geometric_progression', 0, 1)}","[3, 4]",lambda x: (1 * x) + 3,5,True,Y,5,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (1 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 4, 1)}","[3, 4]",lambda x: (x + 2) % (2+1),5,False,Y,1,False
"{'fn': 'lambda x: [i for i in range(100) if i % (1 + 1) or i % (2 + 1)][x]', 'offset': 2, 'metadata': ('indexing_criteria_progression', 0, 2)}","[3, 4]",lambda x: (x * 1) + 3,5,True,Y,5,True
