original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15]",lambda x: 5 * x if x > 0 else 0,20,True,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729]",lambda x: 3 ** (3 * x) ** 0.5,19683,False,True
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30]",lambda x: (15 * x) if x > 0 else 0,45,True,True
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29, 30, 39]",lambda x: (x + 1) ** 2 - 3 if x % 4 < 2 else (x + 1) ** 2 - 1,40,False,False
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16]",lambda x: 2 ** x,32,True,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36, 48, 60]",lambda x: (12 * x) * 1 if x <= 5 else None,72,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28, 172, 1380]",lambda x: int((1/3) * (2**(x+1) - 1) * (2**(x) - 1)) if x >= 0 else None,13732,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1]",lambda x: 1 if x >= 0 else 0,1,True,True
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15, 22, 27, 30, 35]",lambda x: (5 * x) + (2 if x % 2 else 0),42,False,True
"{'fn': 'lambda x: 1 ** (2 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 0) + 1,1,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 3 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 7, 46, 418, 5020, 75304, 1355476]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else (2 * x - 1) * fn(fn,x-1) + x ** 2)",27067096,False,False
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0}","[1, 2, 3, 4, 5, 7, 8, 9]",lambda x: [i for i in range(100) if i % (6 + 1) != 0 and i % (10 + 1) != 0][x],10,False,True
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1]",lambda x: 1,1,True,True
