original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15]",lambda x: 5 * x,20,True,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683]",lambda x: 3 ** (3 * x),531441,True,True
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30, 45]",lambda x: 15 * x,60,True,True
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29, 30]",lambda x: [i for i in range(100) if i % (4 + 1) or i % (9 + 1)][x],44,False,False
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16]",lambda x: 2 ** x,32,True,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24]",lambda x: 12 * x,36,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28, 172, 1380, 13804]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 0)",165648,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: 1 ** (6 * x),1,True,True
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15, 22, 27, 30, 35]",lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x],42,False,True
"{'fn': 'lambda x: 1 ** (2 * x)', 'offset': 0}","[1, 1, 1]",lambda x: 1 * (x ** 0),1,True,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0}","[1, 2, 3]",lambda x: x + 1,4,True,True
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 8, 68, 820, 13124, 262484, 6299620, 176389364, 5644459652]","(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 4)",197636536724,False,False
"{'fn': 'lambda x: (3 * x) + 4', 'offset': 0}","[4, 7, 10, 13]",lambda x: 4 + (3 * x),16,True,True
"{'fn': 'lambda x: (3 * x) ** 2', 'offset': 0}","[0, 9, 36, 81, 144, 225, 324]",lambda x: (3 * x) ** 2,441,True,True
"{'fn': 'lambda x: (x * 1) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: (7 * x) * 0,0,True,True
"{'fn': 'lambda x: 1 ** (4 * x)', 'offset': 0}","[1, 1, 1, 1, 1]",lambda x: (5 * x) ** 0,1,True,True
"{'fn': 'lambda x: (5 * x) | 0', 'offset': 0}","[0, 5, 10, 15]",lambda x: 5 * x,20,True,True
"{'fn': 'lambda x: (4 * x) + 4', 'offset': 0}","[4, 8, 12, 16, 20, 24]",lambda x: (4 * x) + 4,28,True,True
"{'fn': 'lambda x: (5 * x) + 0', 'offset': 0}","[0, 5, 10, 15, 20]",lambda x: 5 * x,25,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 4, 11]",lambda x: (3 ** x) - 2,26,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 0)', 'offset': 0}","[1, 2, 8, 48, 384]",lambda x: (1 * x) * (2 ** (x - 1)) if x > 0 else 1,4608,False,False
"{'fn': 'lambda x: 5 ** (1 * x)', 'offset': 0}","[1, 5, 25]",lambda x: 5 ** (x - 1),125,True,True
"{'fn': 'lambda x: (5 * x) ** 3', 'offset': 0}","[0, 125, 1000, 3375, 8000, 15625, 27000, 42875, 64000]",lambda x: (5 * x) ** 3,91125,False,True
"{'fn': 'lambda x: (2 * x) ** 4', 'offset': 0}","[0, 16, 256, 1296, 4096, 10000]",lambda x: (2 * x) ** 2,20736,False,True
"{'fn': 'lambda x: 4 ** (3 * x)', 'offset': 0}","[1, 64, 4096, 262144, 16777216]",lambda x: 2 ** (6 * x),1073741824,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 1)', 'offset': 0}","[1, 5, 41, 493]",lambda x: (4 ** x) - 3,7385,False,False
"{'fn': 'lambda x: (x * 5) % (2+1)', 'offset': 0}","[0, 2, 1, 0, 2]",lambda x: x % 3 - (x // 3),1,False,True
"{'fn': 'lambda x: (5 * x) * 2', 'offset': 0}","[0, 10, 20, 30, 40, 50, 60, 70]",lambda x: 10 * x,80,True,True
"{'fn': 'lambda x: 4 ** (4 * x)', 'offset': 0}","[1, 256, 65536, 16777216, 4294967296, 1099511627776]",lambda x: 256 ** (x - 1),281474976710656,True,True
"{'fn': 'lambda x: (4 * x) | 4', 'offset': 0}","[4, 4, 12, 12, 20, 20, 28]",lambda x: 4 * (x // 2) + 4 * (x % 2),28,False,True
"{'fn': 'lambda x: (1 * x) ** 3', 'offset': 0}","[0, 1, 8, 27, 64, 125, 216, 343, 512]",lambda x: x ** 3,729,False,True
"{'fn': 'lambda x: (x * 2) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,False,True
"{'fn': 'lambda x: 5 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: 1,1,False,True
"{'fn': 'lambda x: (2 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: 0 ** (1 * x),0,False,True
"{'fn': 'lambda x: (x * 5) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (x * 2) % (3+1)', 'offset': 0}","[0, 2, 0, 2, 0, 2, 0, 2]",lambda x: 2 * (x % 2),0,True,True
"{'fn': 'lambda x: 5 ** (3 * x)', 'offset': 0}","[1, 125, 15625, 1953125]",lambda x: (5 ** (3 * x)),244140625,True,True
"{'fn': 'lambda x: (1 * x) ** 4', 'offset': 0}","[0, 1, 16]",lambda x: (4 * x) ** (2 * x),81,False,True
"{'fn': 'lambda x: (3 * x) | 4', 'offset': 0}","[4, 7, 6, 13, 12, 15, 22, 21]",lambda x: (x // 2) * 3 + (x % 2) * 3 + 1,24,False,False
"{'fn': 'lambda x: (1 * x) ** 0', 'offset': 0}","[1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (5 * x) | 3', 'offset': 0}","[3, 7, 11, 15]",lambda x: (4 * x) + 3,19,True,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 5, 14]",lambda x: (x * (x + 1) * (x + 2)) // 6,30,False,False
"{'fn': 'lambda x: (2 * x) ** 3', 'offset': 0}","[0, 8, 64, 216, 512, 1000, 1728]",lambda x: (2 * x) ** 3,2744,True,True
"{'fn': 'lambda x: 3 ** (2 * x)', 'offset': 0}","[1, 9, 81, 729, 6561, 59049, 531441]",lambda x: 9 ** x,4782969,True,True
"{'fn': 'lambda x: (3 * x) * 0', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0, 0, 0]",lambda x: 0,0,False,True
"{'fn': 'lambda x: (x * 3) % (3+1)', 'offset': 0}","[0, 3, 2, 1, 0, 3, 2, 1, 0]",lambda x: x % 4,3,False,True
"{'fn': 'lambda x: (x * 3) % (0+1)', 'offset': 0}","[0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (4 * x) * 3', 'offset': 0}","[0, 12, 24, 36, 48, 60, 72, 84, 96]",lambda x: 12 * x,108,False,True
"{'fn': 'lambda x: (5 * x) + 3', 'offset': 0}","[3, 8, 13, 18, 23]",lambda x: (5 * x) + 3,28,True,True
"{'fn': 'lambda x: 1 ** (3 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (1 * x) | 2', 'offset': 0}","[2, 3, 2, 3, 6]",lambda x: [i for i in range(100) if i % (1 + 1) or i % (3 + 1)][x],9,False,False
"{'fn': 'lambda x: (x * 4) % (4+1)', 'offset': 0}","[0, 4, 3, 2, 1, 0, 4]",lambda x: (5 - x) % 5,3,True,True
"{'fn': 'lambda x: (1 * x) | 1', 'offset': 0}","[1, 1, 3, 3, 5]",lambda x: (2 * x) - (x % 2),5,False,True
"{'fn': 'lambda x: 2 ** (4 * x)', 'offset': 0}","[1, 16, 256, 4096, 65536, 1048576, 16777216]",lambda x: 16 ** x,268435456,True,True
"{'fn': 'lambda x: (3 * x) ** 0', 'offset': 0}","[1, 1, 1]",lambda x: (x * 0) + 1,1,True,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 5, 23, 141, 1131, 11313]",lambda x: (1 * x) * (4 ** x) - 1,135759,False,True
"{'fn': 'lambda x: (5 * x) * 4', 'offset': 0}","[0, 20, 40, 60, 80, 100, 120]",lambda x: 20 * x,140,True,True
"{'fn': 'lambda x: (2 * x) * 4', 'offset': 0}","[0, 8, 16, 24, 32, 40, 48]",lambda x: 8 * x,56,True,True
"{'fn': 'lambda x: 4 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1]",lambda x: 1,1,True,True
"{'fn': 'lambda x: (x * 4) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0]",lambda x: 0,0,True,True
"{'fn': 'lambda x: (5 * x) ** 2', 'offset': 0}","[0, 25, 100, 225]",lambda x: (5 * x) ** 2,400,True,True
"{'fn': 'lambda x: (3 * x) + 2', 'offset': 0}","[2, 5, 8, 11, 14, 17, 20, 23, 26]",lambda x: (3 * x) + 2,29,False,True
