original_function,sequence,generated_completion_rule,generated_completion,generated_rule_matches,generated_completion_matches
"{'fn': 'lambda x: (5 * x) ** 1', 'offset': 0}","[0, 5, 10, 15, 20]",lambda x: (5 * x) | 0,25,True,True
"{'fn': 'lambda x: 3 ** (3 * x)', 'offset': 0}","[1, 27, 729, 19683, 531441, 14348907, 387420489, 10460353203, 282429536481]",lambda x: (3 * x) % (3+1),14348907,False,False
"{'fn': 'lambda x: (5 * x) * 3', 'offset': 0}","[0, 15, 30, 45, 60]",lambda x: (3 * x) | (2 * x),90,False,False
"{'fn': 'lambda x: (5 * x) | 4', 'offset': 0}","[4, 5, 14, 15, 20, 29]",lambda x: (1 * x) * (1 + x),30,False,True
"{'fn': 'lambda x: 2 ** (1 * x)', 'offset': 0}","[1, 2, 4, 8, 16, 32, 64, 128]",lambda x: (x * 2) | (x * 2),256,False,True
"{'fn': 'lambda x: (3 * x) * 4', 'offset': 0}","[0, 12, 24, 36, 48, 60, 72]",lambda x: (x * 2) % (6+1),84,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 2 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 6, 28, 172, 1380]",lambda x: (1 + x) * (1 + x),1296,False,False
"{'fn': 'lambda x: (5 * x) ** 0', 'offset': 0}","[1, 1, 1]",lambda x: (x * 1) % (2+1),2,True,False
"{'fn': 'lambda x: (5 * x) | 2', 'offset': 0}","[2, 7, 10, 15]",lambda x: (2 * x) ** 1,20,False,False
"{'fn': 'lambda x: 1 ** (2 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1]",lambda x: (4 * x) ** 1,1,False,True
"{'fn': 'lambda x: [i for i in range(100) if i % (5 + 1) or i % (2 + 1)][x]', 'offset': 0}","[1, 2, 3]",lambda x: (1 * x) ** 3,4,False,True
"{'fn': 'lambda x: 2 ** (0 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (x * 2) % (3+1),2,False,False
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 4 * x * fn(fn,x-1) + 4)', 'offset': 0}","[1, 8, 68, 820, 13124, 262484]",lambda x: (x * x) | (x * x),924,False,False
"{'fn': 'lambda x: (3 * x) + 4', 'offset': 0}","[4, 7, 10]",lambda x: (2 * x) + (3 * x),15,False,False
"{'fn': 'lambda x: (3 * x) ** 2', 'offset': 0}","[0, 9, 36, 81, 144, 225, 324]",lambda x: (x * 1) % (1 + 1),324,False,False
"{'fn': 'lambda x: (x * 1) % (0+1)', 'offset': 0}","[0, 0, 0, 0, 0, 0, 0]",lambda x: (0 * x) | (0 * x) | (0 * x) | (0 * x) | (0 * x) | (0 * x) | (0 * x),0,True,True
"{'fn': 'lambda x: 1 ** (4 * x)', 'offset': 0}","[1, 1, 1, 1, 1, 1, 1, 1, 1]",lambda x: (1 * x) ** 0,2,False,False
"{'fn': 'lambda x: (5 * x) | 0', 'offset': 0}","[0, 5, 10, 15, 20, 25]",lambda x: (5 * x) ** 0,35,False,False
"{'fn': 'lambda x: (4 * x) + 4', 'offset': 0}","[4, 8, 12, 16, 20, 24]",lambda x: (2 * x) * 4,32,False,False
"{'fn': 'lambda x: (5 * x) + 0', 'offset': 0}","[0, 5, 10, 15, 20, 25, 30]",lambda x: (2 * x) | 1,35,False,True
"{'fn': '(lambda a:lambda v:a(a,v))(lambda fn,x:1 if x==0 else 1 * x * fn(fn,x-1) + 3)', 'offset': 0}","[1, 4, 11, 36]",lambda x: (2 * x) ** 1,144,False,False
